comment,label,comment_length,comment_cleaned
اینقدر زود اومد سورپرایز شدم، همچنین بسیار داغ بود غذا مرسی,1,59,اینقدر زود اومد سورپرایز شدم همچنین بسیار داغ بود غذا مرسی
غذا سرد بود …کباب کوبیده خوب مغز پخت نشده بود,0,45,غذا سرد بود کباب کوبیده خوب مغز پخت نشده بود
ساندویچ چاباتا اصلا خوب نیست. خبلی توهین آمیزه که محتویات نون به اون بزرگی خالی بود! فقط طعم نون می‌داد!,1,104,ساندویچ چاباتا اصلا خوب نیست خبلی توهین آمیزه که محتویات نون به اون بزرگی خالی بود فقط طعم نون میداد
سپاسگزارم از مدیریت این شعبه برای مشتری مداری,1,45,سپاسگزارم از مدیریت این شعبه برای مشتری مداری
عالی بود واقعا. هم خیلی خیلی خوشمزه بود، هم نسبتا سریع رسید. غذا هم کاملا گرم بود.,1,82,عالی بود واقعا هم خیلی خیلی خوشمزه بود هم نسبتا سریع رسید غذا هم کاملا گرم بود
عالی. برشته و خوشمزه,1,20,عالی برشته و خوشمزه
شیر دوروز قبل رو فرستادن,0,24,شیر دوروز قبل رو فرستادن
بسته بندی پاستا نامناسب بود و ظرف آن باز شده بود و داخل پاکت ریخته بود؛,1,71,بسته بندی پاستا نامناسب بود و ظرف آن باز شده بود و داخل پاکت ریخته بود
فقط غذا سرد. شده بود با وجود فاصله‌ی یک کوچه,1,44,فقط غذا سرد شده بود با وجود فاصلهی یک کوچه
اولا پیتزا که تحویل داده شد داخل جعبه مچاله شده بود (عدم توجه در حمل توسط پیک) و دوما محتویات پیتزا بسیار کم بود و خمیر دور آن نپخته و زیاد بود، غذا سرد بود بسته بندی خوب بود سیب‌زمینی خوب بود,1,192,اولا پیتزا که تحویل داده شد داخل جعبه مچاله شده بود عدم توجه در حمل توسط پیک و دوما محتویات پیتزا بسیار کم بود و خمیر دور آن نپخته و زیاد بود غذا سرد بود بسته بندی خوب بود سیبزمینی خوب بود
تازگی‌ها انگار بد شده,1,21,تازگیها انگار بد شده
هیچوقت نمیبخشمت برای همیشه بای. یک ساعت و ربع طول کشید,0,54,هیچوقت نمیبخشمت برای همیشه بای یک ساعت و ربع طول کشید
ممنون همه چی خوب بود فقط بجای کره سنتی شکلی کره میهن فرستادین ک من باب میلم نیست و اگ شکلی نداشتین سفارش نمی‌دادم لطفا سفارشاتو جابجا نکنید,1,139,ممنون همه چی خوب بود فقط بجای کره سنتی شکلی کره میهن فرستادین ک من باب میلم نیست و اگ شکلی نداشتین سفارش نمیدادم لطفا سفارشاتو جابجا نکنید
پیتزا فقط خمیر ضخیم بود هیچی نداشت قبلا خیلی کیفیت بهتر بود پیک رستوران سفارش گذاشته بود تو آسانسور رفته بود,0,108,پیتزا فقط خمیر ضخیم بود هیچی نداشت قبلا خیلی کیفیت بهتر بود پیک رستوران سفارش گذاشته بود تو آسانسور رفته بود
پیتزا میکس و سیب‌زمینی پنیر ویژتون فوق العادست. فقط کاش پنیر سیب زمینیتون رو بیشتر کنید. دیگه حرف نداره …. همیشه ازتون راضی بودم و هستم. عالی هستید.,1,148,پیتزا میکس و سیبزمینی پنیر ویژتون فوق العادست فقط کاش پنیر سیب زمینیتون رو بیشتر کنید دیگه حرف نداره  همیشه ازتون راضی بودم و هستم عالی هستید
کوکی رژیمی بیات و بسیار مانده بود، ریختم رفت راضی نبودم. سایر موارد خوب بودند. لطفا اگر موردی بیات و مانده هست ارسال نکنید.,1,123,کوکی رژیمی بیات و بسیار مانده بود ریختم رفت راضی نبودم سایر موارد خوب بودند لطفا اگر موردی بیات و مانده هست ارسال نکنید
زمان آماده شدن خیلی طولانی است,1,30,زمان آماده شدن خیلی طولانی است
کیفیت استیک بوقلمون اصلا خوب نبود,0,33,کیفیت استیک بوقلمون اصلا خوب نبود
مواد وخامه همه ترکیده، اشتباه ادم شیرینیو ازطریق پیک سفارش بده، هیچ چیزی به عنوان شیرینی دیده نمی‌شد,0,100,مواد وخامه همه ترکیده اشتباه ادم شیرینیو ازطریق پیک سفارش بده هیچ چیزی به عنوان شیرینی دیده نمیشد
پیتزای ۲۴ سانتی مدام در حال کوچکتر شدن است!,1,43,پیتزای  سانتی مدام در حال کوچکتر شدن است
باسلام من. مشتری ثابت شما هستم. همیشه فقط به شما سفارش میدم. پیتزا کویین بشدت شور بود. یعنی گلوم می‌سوخت وقتی می‌خوردم. چهل هزارتومن پول میدیم اینجوری باشه خیلی بده. می‌خواستم برگردونم. دفعه بعد بیشتر دقت کنین,0,209,باسلام من مشتری ثابت شما هستم همیشه فقط به شما سفارش میدم پیتزا کویین بشدت شور بود یعنی گلوم میسوخت وقتی میخوردم چهل هزارتومن پول میدیم اینجوری باشه خیلی بده میخواستم برگردونم دفعه بعد بیشتر دقت کنین
بسیار عالی. مقدار نان برای حجم املت زیاد بود.,1,45,بسیار عالی مقدار نان برای حجم املت زیاد بود
سیب‌زمینی یخ‌زده شرکتی، اونم در ظرف جدا و بصورت خمیر شده، بعنوان سیب‌زمینی خورش قیمه اصلا روش مناسبی نیست! سیب‌زمینی قیمه باید از سیب تازه درست شود و خلال و برشته روی خود خورش باشد. قیمت نسبت به مواد مصرفی مناسب بود! ممنون,0,222,سیبزمینی یخزده شرکتی اونم در ظرف جدا و بصورت خمیر شده بعنوان سیبزمینی خورش قیمه اصلا روش مناسبی نیست سیبزمینی قیمه باید از سیب تازه درست شود و خلال و برشته روی خود خورش باشد قیمت نسبت به مواد مصرفی مناسب بود ممنون
نان ساندویچ کاملا بیات بود,0,26,نان ساندویچ کاملا بیات بود
همراه پیتزا سس ارسال نشده بود,0,29,همراه پیتزا سس ارسال نشده بود
غذا سرد بود کیفیت به نسبت قیمت پائین‌تر بود من بندری سفارش داده بود ولی بیشتر ژامبون بود تا بندری نوشابه هم سفارش داده بودم که همراه غذا نبود امیدوارم در آینده بهتر شود,0,168,غذا سرد بود کیفیت به نسبت قیمت پائینتر بود من بندری سفارش داده بود ولی بیشتر ژامبون بود تا بندری نوشابه هم سفارش داده بودم که همراه غذا نبود امیدوارم در آینده بهتر شود
نسبت پولی که دادیم به حجم و کیفیت تحویل دادن واقعا عجیب بود,0,59,نسبت پولی که دادیم به حجم و کیفیت تحویل دادن واقعا عجیب بود
محتویات روش متفاوت از قبل بود اما اینم خوشمره بود,1,49,محتویات روش متفاوت از قبل بود اما اینم خوشمره بود
روز به‌روز کیفیت و حجم غذا بد‌تر و کمتر از دیروز,0,48,روز بهروز کیفیت و حجم غذا بدتر و کمتر از دیروز
پیتزا از لحاظ بسته بندی و …. افتضاح بود مثلا جعبه پیتزا با کش بسته‌شده بود!! من ۲ تا پیتزا خریدم با همکارم یک نفره و ۲ نفره یک نوع از زمین تا آسمان متفاوت بودن تقریبا یک نفره نمره ۰ می‌گرفت,0,189,پیتزا از لحاظ بسته بندی و  افتضاح بود مثلا جعبه پیتزا با کش بستهشده بود من  تا پیتزا خریدم با همکارم یک نفره و  نفره یک نوع از زمین تا آسمان متفاوت بودن تقریبا یک نفره نمره  میگرفت
مرغ بو و مزه‌ی بدی داشت. نتونستم بخورم.,0,39,مرغ بو و مزهی بدی داشت نتونستم بخورم
ساندویچ فرش نبود کاهوش پخته بود من همین ساندویچ تو کشورهای دیگه خوردم خیلی فرق داره مگه ما همون مواد غذایی استفاده نمی‌کنیم!! البته خود سوخاریش خوب بود، باز هم سپاس,0,164,ساندویچ فرش نبود کاهوش پخته بود من همین ساندویچ تو کشورهای دیگه خوردم خیلی فرق داره مگه ما همون مواد غذایی استفاده نمیکنیم البته خود سوخاریش خوب بود باز هم سپاس
بسیار خوشمزه بود سریع و داغ رسید ممنونم بابت کیفیت عالی.,1,56,بسیار خوشمزه بود سریع و داغ رسید ممنونم بابت کیفیت عالی
مثل دفعه قبل بسیار سریع و دقیق,1,30,مثل دفعه قبل بسیار سریع و دقیق
شیر موز پسته و ویتامینه افتضاح بود. یخ‌زده و بد طعم بود. ولی ابمیوه بد نبود,0,75,شیر موز پسته و ویتامینه افتضاح بود یخزده و بد طعم بود ولی ابمیوه بد نبود
چربی زیاد. نمک زیاد خوب شد عرق نعنا خونه بود فکر نکنم دیگه هوس کنیم بگیریم,0,74,چربی زیاد نمک زیاد خوب شد عرق نعنا خونه بود فکر نکنم دیگه هوس کنیم بگیریم
من قیمه سیب‌زمینی سفارش دادم نه آب و لپه. دریغ از یدونه سیب‌زمینی داخل این غذا. کاری می‌کنید آدم از سفارش آنلاین کلا پشیمون میشه.,0,129,من قیمه سیبزمینی سفارش دادم نه آب و لپه دریغ از یدونه سیبزمینی داخل این غذا کاری میکنید آدم از سفارش آنلاین کلا پشیمون میشه
کیفیت و خوشمزگی پیتزا نسبت به دفعه قبل کم شده و نسبت به دیگر رستوران‌های خوب خیلی پائین‌تر است متاسفانه باید بگم که این اخرین خرید من خواهد بود,0,143,کیفیت و خوشمزگی پیتزا نسبت به دفعه قبل کم شده و نسبت به دیگر رستورانهای خوب خیلی پائینتر است متاسفانه باید بگم که این اخرین خرید من خواهد بود
اجناس ارسالی به دلیل شرایط بد نگهداری کیفیتشان را بشدت از دست داده و قابل‌استفاده نبودند,0,88,اجناس ارسالی به دلیل شرایط بد نگهداری کیفیتشان را بشدت از دست داده و قابلاستفاده نبودند
غذا بسیار بی‌کیفیت، سیب‌زمینی و برنج ته‌دیگ سوخته سوخته مرغ سرخ‌شده مونده و بی‌مزه که تنها گرم شده بود واقعا نمی‌دونم بعضی‌ها چه وجدانی دارند که غذا رو با این کیفیت و با این قیمت به مردم می‌دهند …,0,196,غذا بسیار بیکیفیت سیبزمینی و برنج تهدیگ سوخته سوخته مرغ سرخشده مونده و بیمزه که تنها گرم شده بود واقعا نمیدونم بعضیها چه وجدانی دارند که غذا رو با این کیفیت و با این قیمت به مردم میدهند
هم سوخاری و هم پیتزا عالی و گرم بود.,1,36,هم سوخاری و هم پیتزا عالی و گرم بود
یعنی سیب‌زمینی تقریبا خلا سیب‌زمینی بود برای یه هفته پیش قیمت ۲۴ هزارتومن یکذره,0,79,یعنی سیبزمینی تقریبا خلا سیبزمینی بود برای یه هفته پیش قیمت  هزارتومن یکذره
یک نوشابه کم فرستادن! لطفا مبلغ به حساب کاربری عودت شود.,0,56,یک نوشابه کم فرستادن لطفا مبلغ به حساب کاربری عودت شود
کیک خوب و تازه بود. ارسال هم به موقع انجام شد,1,45,کیک خوب و تازه بود ارسال هم به موقع انجام شد
سبزیجات تازه، مرغ گریل شده خوش طعم‌و تازه، سس بسیار خوشمزه، سالاد مخصوص عالی بود تنها پیشنهادی که میتونم داشته باشم اینه که برای این سالادسس جدید و مخصوصی ارائه بدید که بدون مایونز باشه، مثلا سس سبز یا پستو,1,206,سبزیجات تازه مرغ گریل شده خوش طعمو تازه سس بسیار خوشمزه سالاد مخصوص عالی بود تنها پیشنهادی که میتونم داشته باشم اینه که برای این سالادسس جدید و مخصوصی ارائه بدید که بدون مایونز باشه مثلا سس سبز یا پستو
ساندویچها را با اینکه گفته بودم نصف نکرده بودن,1,46,ساندویچها را با اینکه گفته بودم نصف نکرده بودن
نان سیر خمیر بود دفعه بعد برشته باشه لطفا اما سیب‌زمینی و پیاز عالی,1,67,نان سیر خمیر بود دفعه بعد برشته باشه لطفا اما سیبزمینی و پیاز عالی
تکه‌های مرغ بسیار بزرگ و نامناسب بودن. در مصرف ادویه کاری زیاده‌روی شده. در کل کیفیت متوسط به پایین,0,99,تکههای مرغ بسیار بزرگ و نامناسب بودن در مصرف ادویه کاری زیادهروی شده در کل کیفیت متوسط به پایین
واقعا به نسبت آنچه این روزها تحت عنوان غذای بیرون بر ارایه میشه عالی بود کیفیت استاندارد و مناسب برای یک دیزی بیرون بر، پک شکیل و استاندارد …. به نظرم حقیقتا میشه نمره مناسبی داد از مدیر و عوامل رستوران دیزی دیدار هم سپاسگزارم,1,226,واقعا به نسبت آنچه این روزها تحت عنوان غذای بیرون بر ارایه میشه عالی بود کیفیت استاندارد و مناسب برای یک دیزی بیرون بر پک شکیل و استاندارد  به نظرم حقیقتا میشه نمره مناسبی داد از مدیر و عوامل رستوران دیزی دیدار هم سپاسگزارم
این جوجه‌کباب در لیست غذا‌ها ۳۰۰ گرم اعلام‌شده بود که به نظره من ۲۰۰ گرم هم نبود,0,80,این جوجهکباب در لیست غذاها  گرم اعلامشده بود که به نظره من  گرم هم نبود
پیتزا گرم رسید طعمش هم خوب بود و برای من که عاشق پنیرم گزینه خوبیه چون پنیرش زیاده,1,82,پیتزا گرم رسید طعمش هم خوب بود و برای من که عاشق پنیرم گزینه خوبیه چون پنیرش زیاده
پیتزاش خوشمزه بود ولی به بد مزگی پاستاش نخورده بودم اصلا. فقط پاستا رو روش پنیر ریخته بودن و پخته بودن بدون هیچ طعم و مزه‌ای,0,124,پیتزاش خوشمزه بود ولی به بد مزگی پاستاش نخورده بودم اصلا فقط پاستا رو روش پنیر ریخته بودن و پخته بودن بدون هیچ طعم و مزهای
سوپ بسیار چرب و روغنی بود متاسفانه، کیفیت جوجه‌کباب هم معمولی بود.,0,66,سوپ بسیار چرب و روغنی بود متاسفانه کیفیت جوجهکباب هم معمولی بود
مزش خوب بود ولی کمتر از نیم کیلو بود,0,36,مزش خوب بود ولی کمتر از نیم کیلو بود
دومین بار بود که این غذا را سفارش دادم و واقعا راضی بودم. ممنونم.,1,65,دومین بار بود که این غذا را سفارش دادم و واقعا راضی بودم ممنونم
خوب بود فقط یکم بهم ریخته شده بود,1,33,خوب بود فقط یکم بهم ریخته شده بود
چیزکیک طعمش عالی بود، پیک هم خیلی مودب و با شخصیت بود، فقط این بیسکوییتای زیرش چرا انقدر خورد می‌شد,1,99,چیزکیک طعمش عالی بود پیک هم خیلی مودب و با شخصیت بود فقط این بیسکوییتای زیرش چرا انقدر خورد میشد
چرا انقد کوچولو و کم حجمتر میشه روز به‌روز؟؟؟ خونه من همین بالای میدونه ولی ۱ ساعت طول کشید کی برای ساندویچ بندری سس مایونز میزاره ما سفارش زیاد میدیم یخچالمون شده کلکسیون سس مایونز نامی نو,0,189,چرا انقد کوچولو و کم حجمتر میشه روز بهروز خونه من همین بالای میدونه ولی  ساعت طول کشید کی برای ساندویچ بندری سس مایونز میزاره ما سفارش زیاد میدیم یخچالمون شده کلکسیون سس مایونز نامی نو
بدترین ساندویچ عمرم بود. نونش خیلی خشک بود. همه‌ی مواد و سس هاش به هم ریخته بود. همش تهش جمع شده بود. اصلا نمی‌شد خوردش,0,119,بدترین ساندویچ عمرم بود نونش خیلی خشک بود همهی مواد و سس هاش به هم ریخته بود همش تهش جمع شده بود اصلا نمیشد خوردش
غذا قابل‌قبول و معمولی بود حجم زیاد بود,1,39,غذا قابلقبول و معمولی بود حجم زیاد بود
بسیار درجه یک و خوش‌طعم,1,23,بسیار درجه یک و خوشطعم
تاخیر یک ساعته، غیر قابل‌قبول,0,29,تاخیر یک ساعته غیر قابلقبول
خشمزه‌ترین جوجه ترش کته‌ای که تو عمرم خوردم. عالی,1,49,خشمزهترین جوجه ترش کتهای که تو عمرم خوردم عالی
بندری خوب بود ولی ۵۰ دقیقه زمان برد تا به دستم برسه. پیک هم گفت که همین یه سفارش رو مستقیم آورده و جای دیگه هم نرفته,1,116,بندری خوب بود ولی  دقیقه زمان برد تا به دستم برسه پیک هم گفت که همین یه سفارش رو مستقیم آورده و جای دیگه هم نرفته
کوفته خوشمزه‌ای داشت نان تازه خوبی داشت لوبیا پلو برنجش شفته بود و کیفیت خوبی نداشت کباب دیگی متوسط بود,0,103,کوفته خوشمزهای داشت نان تازه خوبی داشت لوبیا پلو برنجش شفته بود و کیفیت خوبی نداشت کباب دیگی متوسط بود
درسته که آوردنش سخته درک می‌کنم ولی باید یه فکری براش بشه، این کیک برای سورپرایز بوده و کلیش به در و دیوار جعبه چسبیده,0,118,درسته که آوردنش سخته درک میکنم ولی باید یه فکری براش بشه این کیک برای سورپرایز بوده و کلیش به در و دیوار جعبه چسبیده
غذا عالی بود و خیلی زود اماده و تحویل داده شد. مرسی واقعا از رستوران اسلامی و اسنپ فود,1,86,غذا عالی بود و خیلی زود اماده و تحویل داده شد مرسی واقعا از رستوران اسلامی و اسنپ فود
همه چیز خوب و تازه بود مرسی,1,27,همه چیز خوب و تازه بود مرسی
غذاشون خوشمزه و عالی بود,1,24,غذاشون خوشمزه و عالی بود
کمی سرد شده بود پنیر پیتزا,1,26,کمی سرد شده بود پنیر پیتزا
بسیار چرب بود و با توجه به خاص بودن پیتزا در منو کوچکترین ویژگی خاصی نداشت,0,74,بسیار چرب بود و با توجه به خاص بودن پیتزا در منو کوچکترین ویژگی خاصی نداشت
غذا خیلی کیفیت پایینه داشت. جوجه‌ها بوی بدی میدادن و داخل جوجه‌ها خانم بود.,0,75,غذا خیلی کیفیت پایینه داشت جوجهها بوی بدی میدادن و داخل جوجهها خانم بود
هزینه پیک خیلی زیاد بود,1,23,هزینه پیک خیلی زیاد بود
خیلی خوب بود ممنونم ازتون,1,25,خیلی خوب بود ممنونم ازتون
از نحوۀ برخورد مدیر سوپرمارکت و نحوۀ ارسال راضی هستم.,1,53,از نحوۀ برخورد مدیر سوپرمارکت و نحوۀ ارسال راضی هستم
اگه یه غذای با کیفیت و خوشمزه و البته با قیمت مناسب میخواید، کته کباب‌های اینجا رو از دست ندید,1,94,اگه یه غذای با کیفیت و خوشمزه و البته با قیمت مناسب میخواید کته کبابهای اینجا رو از دست ندید
کیفیت کباب کوبیده بینهایت پایین بود,0,35,کیفیت کباب کوبیده بینهایت پایین بود
قیمت بالا و حجم بسیار کم واقعا متاسفم,0,37,قیمت بالا و حجم بسیار کم واقعا متاسفم
بهترین پیتزای پپرونی دنیا بدون شک … یعنی الان سه سالی هست من رو دست این پپرونی ندیدم … فقط‌ای کاش اون مالیات نبود.,1,114,بهترین پیتزای پپرونی دنیا بدون شک  یعنی الان سه سالی هست من رو دست این پپرونی ندیدم  فقطای کاش اون مالیات نبود
در پیتزا نسبت به موارد قبل فلفل زیاد داشت آویشن در سفارش نبود,0,61,در پیتزا نسبت به موارد قبل فلفل زیاد داشت آویشن در سفارش نبود
بندری‌ها اصلا پخته نشده بود واقعا اولین و آخرین باری بود که می‌خرم,0,66,بندریها اصلا پخته نشده بود واقعا اولین و آخرین باری بود که میخرم
کیفیت غذا بد نبود ولی متاسفانه پیتزا داخل جعبه واژگون شده بود و روی‌هم افتاده بود که ظاهری ناخوشایند داشت..!!,0,109,کیفیت غذا بد نبود ولی متاسفانه پیتزا داخل جعبه واژگون شده بود و رویهم افتاده بود که ظاهری ناخوشایند داشت
خیلی سریع آوردن، هر دو نأن داغ و تازه بود. ممنون,1,48,خیلی سریع آوردن هر دو نأن داغ و تازه بود ممنون
عالی بود و خیلی سریع به دستم رسید,1,33,عالی بود و خیلی سریع به دستم رسید
امیدوارم کیفیت غذاتون همیشه همینجور خوب بمونه، فقط کمی رو حجم مواد تشکیل‌دهنده ساندویچهاتون بیشتر دقت کنید.,1,107,امیدوارم کیفیت غذاتون همیشه همینجور خوب بمونه فقط کمی رو حجم مواد تشکیلدهنده ساندویچهاتون بیشتر دقت کنید
نان سنگک، به نسبت قبل ۱ -سیاه دانه کمتر شده ۲ -نان سنگک گرفت و بی کیفیت‌تر شده است.,0,83,نان سنگک به نسبت قبل  سیاه دانه کمتر شده  نان سنگک گرفت و بی کیفیتتر شده است
خوشمزه. اما واقعا واقعا سیر نمیکنه.,1,35,خوشمزه اما واقعا واقعا سیر نمیکنه
سالاد سزار بسیار خوشمزه و با کیفیت بود.,1,39,سالاد سزار بسیار خوشمزه و با کیفیت بود
متاسفانه مرغ سوخاری کاملا بدون کیفیت و سوخته بود,0,48,متاسفانه مرغ سوخاری کاملا بدون کیفیت و سوخته بود
کیفیت خوب بود فقط یک مقدار کوچیک بود اندازه ساندویچ و سس یدونه گذاشته بودن,1,74,کیفیت خوب بود فقط یک مقدار کوچیک بود اندازه ساندویچ و سس یدونه گذاشته بودن
من تا حالا از پلاک زیاد سفارش دادم که همه خوب بوده. ولی این ساندویچ رست بیف اصلا معرکه بود,1,90,من تا حالا از پلاک زیاد سفارش دادم که همه خوب بوده ولی این ساندویچ رست بیف اصلا معرکه بود
قرمه سبزی که هیچ طعمی نداشت فقط روغن داشت و چرب بود جوجه‌کباب که اینقدر شور بود انگار ماهی دودی داشتی می‌خوردی از شوری برنج هم ته‌دیگ بوده هرچی برنج سیاه شده بود ریخته بودن واقعا جای تاسف داره این مدل غذا درست کردن,0,214,قرمه سبزی که هیچ طعمی نداشت فقط روغن داشت و چرب بود جوجهکباب که اینقدر شور بود انگار ماهی دودی داشتی میخوردی از شوری برنج هم تهدیگ بوده هرچی برنج سیاه شده بود ریخته بودن واقعا جای تاسف داره این مدل غذا درست کردن
خداییش خوش طعمه. ولی برنجش کاملا ایرانی نیست که نسبت به قیمت منصفانه هستش. دم شما گرم,1,85,خداییش خوش طعمه ولی برنجش کاملا ایرانی نیست که نسبت به قیمت منصفانه هستش دم شما گرم
همه خوشمزگی نون‌های سه نان، به تازگی اونهاست. تاریخی که آوردن فقط یه روز به انقضا مونده بود، و اصلا قابل خوردن نبود، پشیمون شدم از سفارشم.,0,138,همه خوشمزگی نونهای سه نان به تازگی اونهاست تاریخی که آوردن فقط یه روز به انقضا مونده بود و اصلا قابل خوردن نبود پشیمون شدم از سفارشم
بجای سبزی خوردن ترگل سبزی دکتر بیژن فرستادن.,0,44,بجای سبزی خوردن ترگل سبزی دکتر بیژن فرستادن
باورم نمیشه! انگار یه قوطی نمک توش خالی کرده بودن. من که همیشه خودم غذای شور می‌خورم نمیتونستم اینو تحمل کنم! سس سیری هم در کار نبود.,0,133,باورم نمیشه انگار یه قوطی نمک توش خالی کرده بودن من که همیشه خودم غذای شور میخورم نمیتونستم اینو تحمل کنم سس سیری هم در کار نبود
بسیار عالی مثل همیشه. سپاس فراوان,1,33,بسیار عالی مثل همیشه سپاس فراوان
خیلی سریع و کامل سفارشات به دستم رسید ممنون,1,43,خیلی سریع و کامل سفارشات به دستم رسید ممنون
نه قاشق نه چنگال نه دستمال کاغذی نذاشته بودن!!!!!!!! نمیدونم واقعن توقع داشتن سوسیس توی سوپر برگرو با چی خورد!!!,1,112,نه قاشق نه چنگال نه دستمال کاغذی نذاشته بودن نمیدونم واقعن توقع داشتن سوسیس توی سوپر برگرو با چی خورد
ده دقیقه‌ای اوردن فوق‌العاده بود ممنون از اسنپ,1,46,ده دقیقهای اوردن فوقالعاده بود ممنون از اسنپ
اشتباه زدم راضی بودم,0,20,اشتباه زدم راضی بودم
شیرینی‌ها مونده بود و خیلی شیرین بود که دل رو می‌زد,0,51,شیرینیها مونده بود و خیلی شیرین بود که دل رو میزد
عالی بود مخصوصا ته چین …. خسته نباشید,1,37,عالی بود مخصوصا ته چین  خسته نباشید
بسیار بی‌کیفیت قیمت نسبت ب حجم خیلی زیاد بود اصلا راضی نبودم بار آخرم بود ک سفارش میدم,0,86,بسیار بیکیفیت قیمت نسبت ب حجم خیلی زیاد بود اصلا راضی نبودم بار آخرم بود ک سفارش میدم
سلام واقعا طعم غذا خیلی خیلی بد بود و چون من باقالی پلو سفارش داده بودم پلو شفته بود و باقالی اصلا پخته نشده بود مرغ هم اصلا هم نداشت و خیلی بد پخته‌شده بود,0,156,سلام واقعا طعم غذا خیلی خیلی بد بود و چون من باقالی پلو سفارش داده بودم پلو شفته بود و باقالی اصلا پخته نشده بود مرغ هم اصلا هم نداشت و خیلی بد پختهشده بود
آشش مثل همیشه عالی شله زردش نه شیرین بود و خیلی شل بود,1,54,آشش مثل همیشه عالی شله زردش نه شیرین بود و خیلی شل بود
برنج ایرانی خیلی خوب بود و حجمش هم زیاد بود. مرغ هم خوب سرخ‌شده بود اندازه‌اش هم مناسب با برنج بود. در کل همه چی خوب بود. ممنون,1,127,برنج ایرانی خیلی خوب بود و حجمش هم زیاد بود مرغ هم خوب سرخشده بود اندازهاش هم مناسب با برنج بود در کل همه چی خوب بود ممنون
خیلی خوشمزه بود اما یه کم سرد بود در کل خوب بود,1,47,خیلی خوشمزه بود اما یه کم سرد بود در کل خوب بود
سلام و خسته نباشید. بسیار گرم و تازه بدستم رسید. فقط بار دوم نون خوب بسته بندی نشده بود. ممنونم,1,95,سلام و خسته نباشید بسیار گرم و تازه بدستم رسید فقط بار دوم نون خوب بسته بندی نشده بود ممنونم
خیلی خوب و تازه و سریع به دستم رسید,1,35,خیلی خوب و تازه و سریع به دستم رسید
دوتا دلستر سفارش دادیم یه نوشابه اوردن بسیار هم دیر رسید لطفا رسیدگی کنید,0,73,دوتا دلستر سفارش دادیم یه نوشابه اوردن بسیار هم دیر رسید لطفا رسیدگی کنید
مرغ کم پخته بود و مزه غذا بسیار متوسط بود انتظار دیگه‌ای داشتم,0,62,مرغ کم پخته بود و مزه غذا بسیار متوسط بود انتظار دیگهای داشتم
چیپس و پنیر بزرگ نه چیپس سالم و تازه داخلش بود نه پنیر، واقعا پشیمونم از پرداخت مبلغ گزاف، اسنک‌ها هم معمولیه و بسیار کوچک. اجازه بدید اسنک رو رستوران ارائه کنه و شما هم فقط بستنی.,0,180,چیپس و پنیر بزرگ نه چیپس سالم و تازه داخلش بود نه پنیر واقعا پشیمونم از پرداخت مبلغ گزاف اسنکها هم معمولیه و بسیار کوچک اجازه بدید اسنک رو رستوران ارائه کنه و شما هم فقط بستنی
پنیر غذا خیلی کم اصلا مشخص نبود بیکن هم به همین صورت در رستوران‌های دیگه کاملا مثل ساندویچ سرو میشه ولی اینجا همه چیز ازهم جدا بود مثل یک تکه مرغ سوخاری معمولی بود با قیمت بالاتر فقط. خیلی بد بود,0,195,پنیر غذا خیلی کم اصلا مشخص نبود بیکن هم به همین صورت در رستورانهای دیگه کاملا مثل ساندویچ سرو میشه ولی اینجا همه چیز ازهم جدا بود مثل یک تکه مرغ سوخاری معمولی بود با قیمت بالاتر فقط خیلی بد بود
بسیار عالی بود. هم به موقع رسید و هم کیفیت میوه‌ها عالی بود. ممنون از هایپر میوه ناب,1,84,بسیار عالی بود هم به موقع رسید و هم کیفیت میوهها عالی بود ممنون از هایپر میوه ناب
با سلام. جوش‌شیرین اشتباه ۱۲۰۰ تومنی ارسال‌شده ۱۰۰ گرمی ضمنا ۴ عدد شکلات ارسال هم یه چیز دیگه ارسال‌شده این بار دومه که پشت سر هم سوپر مارکت مرزداران داره اشتباه جنس می‌فرسته برام لطفا مابه‌التفاوت جوش‌شیرین عودت شود,0,216,با سلام جوششیرین اشتباه  تومنی ارسالشده  گرمی ضمنا  عدد شکلات ارسال هم یه چیز دیگه ارسالشده این بار دومه که پشت سر هم سوپر مارکت مرزداران داره اشتباه جنس میفرسته برام لطفا مابهالتفاوت جوششیرین عودت شود
خوشمزه بود اما به نسبت سری قبل که سفارش داده بودم خیلی خامه داشت! و واقعا دل رو می‌زد,1,85,خوشمزه بود اما به نسبت سری قبل که سفارش داده بودم خیلی خامه داشت و واقعا دل رو میزد
خوب بود نه عالی. چیزبرگر کمی شور بود. بسته‌بندی خیلی خوب.,1,57,خوب بود نه عالی چیزبرگر کمی شور بود بستهبندی خیلی خوب
میشه گفت اصلا گوشت نداشت برنج نسبت به قبل خیلی کم شده بود طرف آلوده خورشت داخل ظرف برنج گذاشته‌شده بود هم حجم برنج رو گرفته بود هم برنج در مجاورت بیرون ظرف دیگه به صورت مستقیم قرار گرفته بود.,0,191,میشه گفت اصلا گوشت نداشت برنج نسبت به قبل خیلی کم شده بود طرف آلوده خورشت داخل ظرف برنج گذاشتهشده بود هم حجم برنج رو گرفته بود هم برنج در مجاورت بیرون ظرف دیگه به صورت مستقیم قرار گرفته بود
چند وقت کیفیت پایین اومده متاستفانه و اصلا گرم نیست.,0,52,چند وقت کیفیت پایین اومده متاستفانه و اصلا گرم نیست
